Time Gx Gy Gz
s m/s^2 m/s^2 m/s^2
40.338 3.62E-04 0.766497 9.346847
40.539 0.153589 0.919724 9.346847
40.739 -0.152865 1.226178 9.500074
40.739 3.62E-04 1.226178 9.653301
40.941 0.153589 1.226178 9.346847
41.141 0.153589 1.379405 9.500074
41.341 0.153589 0.766497 9.653301
41.542 0.460043 -0.306092 9.653301
41.744 0.153589 -0.306092 10.112982
41.944 0.306816 -0.459319 10.112982
42.146 0.153589 0.460043 10.112982
42.347 0.153589 1.685859 8.887166
42.548 3.62E-04 1.685859 8.887166
42.749 3.62E-04 1.839086 9.806528
42.95 0.153589 1.839086 9.806528
43.15 3.62E-04 1.839086 9.806528
43.15 3.62E-04 1.839086 9.346847
43.351 0.306816 1.992313 9.346847
43.551 0.153589 1.992313 9.653301
43.751 0.153589 1.992313 10.112982
43.951 0.153589 1.992313 9.806528
44.152 3.62E-04 2.14554 9.806528
44.353 -0.152865 1.839086 8.580712
44.554 0.306816 1.839086 9.19362
44.754 0.306816 2.14554 9.346847
44.955 0.306816 2.298767 9.346847
45.155 0.460043 1.839086 9.806528
45.356 0.460043 0.460043 9.653301
45.556 0.306816 -0.306092 9.653301
45.757 0.306816 -0.152865 9.959755
45.957 0.460043 -0.459319 9.500074
46.158 0.61327 2.14554 9.500074
46.158 0.306816 2.911675 9.500074
46.358 0.61327 2.911675 9.040393
46.558 0.460043 3.218129 9.806528
46.759 0.306816 3.064902 9.500074
46.96 0.460043 2.911675 9.500074
47.161 3.62E-04 3.831037 9.19362
47.362 0.306816 3.831037 9.19362
47.563 0.306816 3.524583 9.040393
47.764 3.62E-04 3.524583 9.19362
47.965 3.62E-04 3.218129 9.653301
48.166 3.62E-04 3.064902 9.346847
48.366 0.153589 2.911675 9.500074
48.567 3.62E-04 2.911675 9.19362
48.567 0.153589 3.67781 9.346847
48.768 0.153589 2.911675 9.500074
48.969 0.306816 0.919724 9.653301
49.169 0.306816 3.62E-04 9.806528
49.57 0.306816 -0.152865 9.653301
49.97 0.306816 -0.152865 9.806528
50.17 0.306816 -0.152865 9.653301
50.988 0.306816 -0.152865 9.653301
51.188 0.306816 -0.152865 9.653301
51.388 0.306816 -0.306092 9.806528
51.588 0.306816 3.62E-04 9.959755
51.788 0.306816 -0.306092 9.653301
51.988 0.306816 0.306816 9.653301
